DOUTL,YOB,NKID,SINC,DAINC,RES,AES,BAD,RES(binary),AES(binary),KIDS
380.0,53.0,0.0,5000.0,36000.0,O,P,0.0,1,1,0
0.0,66.0,0.0,0.0,6000.0,P,T,0.0,0,0,0
0.0,53.0,0.0,0.0,9464.0,O,P,0.0,1,1,0
0.0,65.0,0.0,10000.0,19500.0,O,V,0.0,1,1,0
0.0,29.0,0.0,1000.0,60000.0,O,P,0.0,1,1,0
0.0,63.0,0.0,0.0,36600.0,P,P,0.0,0,1,0
0.0,61.0,0.0,0.0,27810.0,O,P,1.0,1,1,0
0.0,68.0,0.0,0.0,13500.0,P,P,0.0,0,1,0
0.0,18.0,2.0,0.0,0.0,O,R,0.0,1,1,1
0.0,67.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,64.0,0.0,0.0,17820.0,P,P,0.0,0,1,0
560.0,52.0,0.0,7000.0,39000.0,O,P,0.0,1,1,0
0.0,62.0,0.0,0.0,17565.0,P,V,1.0,0,1,0
0.0,40.0,0.0,4353.0,5292.0,N,P,1.0,0,1,0
0.0,52.0,2.0,0.0,42000.0,O,P,0.0,1,1,1
460.0,33.0,0.0,0.0,33750.0,O,P,0.0,1,1,0
340.0,52.0,4.0,0.0,37764.0,U,V,0.0,0,1,1
0.0,19.0,4.0,0.0,0.0,O,R,0.0,1,1,1
0.0,68.0,0.0,0.0,7200.0,P,P,1.0,0,1,0
0.0,59.0,0.0,0.0,18928.0,O,E,0.0,1,1,0
0.0,21.0,0.0,0.0,0.0,O,R,0.0,1,1,0
0.0,29.0,0.0,1700.0,30000.0,O,E,0.0,1,1,0
0.0,44.0,3.0,0.0,60000.0,O,P,0.0,1,1,1
0.0,69.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,65.0,0.0,0.0,25500.0,P,P,0.0,0,1,0
0.0,9.0,0.0,0.0,0.0,O,R,0.0,1,1,0
100.0,62.0,1.0,2356.0,27000.0,U,V,0.0,0,1,1
0.0,24.0,0.0,0.0,10311.0,U,V,0.0,0,1,0
0.0,49.0,2.0,9620.0,4680.0,F,P,1.0,0,1,1
0.0,18.0,0.0,0.0,0.0,O,R,1.0,1,1,0
0.0,55.0,0.0,0.0,12168.0,P,P,1.0,0,1,0
0.0,12.0,0.0,0.0,0.0,O,R,1.0,1,1,0
0.0,49.0,2.0,0.0,36000.0,O,E,1.0,1,1,1
0.0,64.0,0.0,0.0,12000.0,P,P,0.0,0,1,0
472.0,30.0,1.0,0.0,34500.0,U,P,1.0,0,1,1
260.0,35.0,0.0,0.0,31200.0,U,B,0.0,0,1,0
440.0,55.0,2.0,4320.0,21600.0,O,P,1.0,1,1,1
0.0,68.0,0.0,0.0,17100.0,P,P,0.0,0,1,0
280.0,34.0,1.0,0.0,24900.0,O,V,0.0,1,1,1
0.0,62.0,2.0,0.0,20160.0,O,E,1.0,1,1,1
0.0,54.0,0.0,0.0,23100.0,O,P,1.0,1,1,0
140.0,63.0,0.0,0.0,14820.0,P,P,1.0,0,1,0
0.0,31.0,0.0,2704.0,18204.0,U,P,1.0,0,1,0
1128.0,41.0,0.0,12000.0,18000.0,O,P,0.0,1,1,0
0.0,61.0,0.0,9100.0,38100.0,O,P,0.0,1,1,0
200.0,51.0,2.0,2000.0,24000.0,O,P,1.0,1,1,1
0.0,66.0,0.0,0.0,0.0,P,E,0.0,0,1,0
80.0,48.0,3.0,0.0,31887.0,O,V,0.0,1,1,1
0.0,45.0,1.0,0.0,18000.0,U,E,0.0,0,1,1
0.0,62.0,0.0,0.0,30000.0,P,B,0.0,0,1,0
0.0,23.0,0.0,0.0,14400.0,O,R,0.0,1,1,0
0.0,42.0,1.0,0.0,25500.0,O,E,1.0,1,1,1
328.0,62.0,0.0,4700.0,15000.0,O,P,0.0,1,1,0
0.0,42.0,0.0,12000.0,7964.0,U,M,0.0,0,1,0
132.0,51.0,2.0,0.0,33000.0,O,P,0.0,1,1,1
0.0,39.0,1.0,24000.0,5184.0,O,E,0.0,1,1,1
1400.0,59.0,0.0,6000.0,30900.0,O,B,0.0,1,1,0
0.0,60.0,1.0,0.0,42000.0,O,P,0.0,1,1,1
0.0,26.0,0.0,0.0,17400.0,O,R,0.0,1,1,0
0.0,63.0,0.0,0.0,18720.0,P,P,0.0,0,1,0
0.0,7.0,0.0,0.0,0.0,O,R,0.0,1,1,0
0.0,35.0,2.0,0.0,19500.0,O,P,0.0,1,1,1
120.0,52.0,0.0,0.0,14040.0,P,P,1.0,0,1,0
300.0,53.0,0.0,0.0,18000.0,N,E,0.0,0,1,0
228.0,56.0,0.0,0.0,21000.0,U,P,0.0,0,1,0
0.0,34.0,0.0,0.0,0.0,O,P,1.0,1,1,0
0.0,47.0,2.0,0.0,18900.0,U,P,0.0,0,1,1
0.0,32.0,0.0,0.0,16200.0,P,R,0.0,0,1,0
160.0,64.0,0.0,0.0,24300.0,P,P,1.0,0,1,0
0.0,69.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,41.0,0.0,8000.0,36000.0,O,P,0.0,1,1,0
0.0,69.0,0.0,0.0,5916.0,N,T,1.0,0,0,0
0.0,15.0,0.0,0.0,39000.0,O,R,1.0,1,1,0
0.0,65.0,0.0,0.0,5325.0,F,T,0.0,0,0,0
0.0,64.0,0.0,0.0,28500.0,P,P,0.0,0,1,0
0.0,55.0,1.0,0.0,31980.0,N,P,0.0,0,1,1
0.0,66.0,0.0,0.0,19500.0,N,V,0.0,0,1,0
0.0,37.0,0.0,7500.0,3000.0,O,P,0.0,1,1,0
0.0,31.0,0.0,0.0,40500.0,O,V,0.0,1,1,0
416.0,33.0,0.0,0.0,43500.0,O,P,0.0,1,1,0
52.0,19.0,0.0,1209.0,19761.0,U,R,0.0,0,1,0
0.0,31.0,0.0,0.0,0.0,P,V,1.0,0,1,0
120.0,57.0,1.0,3640.0,29736.0,O,P,0.0,1,1,1
0.0,60.0,0.0,0.0,22200.0,P,P,0.0,0,1,0
0.0,40.0,1.0,10000.0,9464.0,O,E,0.0,1,1,1
0.0,46.0,0.0,0.0,43200.0,O,E,0.0,1,1,0
428.0,62.0,1.0,0.0,36600.0,U,V,0.0,0,1,1
0.0,69.0,0.0,0.0,0.0,P,T,0.0,0,0,0
560.0,56.0,0.0,0.0,0.0,U,P,0.0,0,1,0
0.0,66.0,0.0,0.0,0.0,P,T,1.0,0,0,0
0.0,38.0,3.0,15000.0,5760.0,O,P,0.0,1,1,1
0.0,45.0,1.0,8000.0,24000.0,O,E,1.0,1,1,1
0.0,58.0,0.0,0.0,15300.0,F,V,0.0,0,1,0
0.0,58.0,2.0,0.0,39000.0,F,P,0.0,0,1,1
0.0,65.0,0.0,0.0,9495.0,N,V,0.0,0,1,0
0.0,65.0,0.0,0.0,17100.0,N,V,0.0,0,1,0
216.0,60.0,0.0,0.0,20100.0,P,V,0.0,0,1,0
0.0,40.0,0.0,0.0,60000.0,O,B,0.0,1,1,0
1000.0,48.0,1.0,0.0,6464.0,O,P,0.0,1,1,1
0.0,46.0,4.0,5600.0,42000.0,O,P,0.0,1,1,1
0.0,69.0,0.0,0.0,0.0,P,T,1.0,0,0,0
0.0,56.0,0.0,0.0,18600.0,N,P,0.0,0,1,0
316.0,61.0,1.0,0.0,31671.0,O,P,1.0,1,1,1
0.0,65.0,1.0,6858.0,0.0,F,W,1.0,0,0,1
0.0,56.0,1.0,0.0,52500.0,O,B,0.0,1,1,1
800.0,65.0,0.0,0.0,21000.0,P,P,0.0,0,1,0
0.0,62.0,0.0,0.0,13800.0,O,T,0.0,1,0,0
0.0,18.0,0.0,0.0,0.0,N,R,1.0,0,1,0
0.0,30.0,0.0,2800.0,14400.0,O,E,1.0,1,1,0
0.0,45.0,4.0,0.0,42000.0,O,E,0.0,1,1,1
420.0,41.0,0.0,0.0,37620.0,O,V,0.0,1,1,0
0.0,66.0,0.0,0.0,6600.0,P,T,0.0,0,0,0
0.0,35.0,2.0,0.0,30000.0,O,E,0.0,1,1,1
0.0,49.0,2.0,5000.0,43500.0,O,P,0.0,1,1,1
0.0,26.0,0.0,0.0,9464.0,O,E,0.0,1,1,0
0.0,44.0,2.0,0.0,15464.0,O,P,0.0,1,1,1
0.0,37.0,1.0,7000.0,44100.0,O,P,0.0,1,1,1
0.0,46.0,2.0,0.0,6464.0,O,P,0.0,1,1,1
0.0,28.0,3.0,15000.0,30000.0,O,V,1.0,1,1,1
320.0,62.0,0.0,8725.0,27969.0,O,V,0.0,1,1,0
0.0,59.0,0.0,0.0,25350.0,P,P,0.0,0,1,0
0.0,29.0,2.0,0.0,0.0,O,E,1.0,1,1,1
0.0,36.0,3.0,0.0,57000.0,O,V,0.0,1,1,1
0.0,62.0,0.0,0.0,32769.0,O,V,0.0,1,1,0
84.0,39.0,4.0,0.0,44529.0,O,B,0.0,1,1,1
0.0,64.0,0.0,0.0,21000.0,F,P,0.0,0,1,0
0.0,61.0,0.0,0.0,18000.0,F,P,0.0,0,1,0
0.0,45.0,0.0,0.0,22800.0,U,P,0.0,0,1,0
0.0,60.0,0.0,0.0,19323.0,N,V,1.0,0,1,0
0.0,65.0,0.0,0.0,18000.0,F,P,0.0,0,1,0
0.0,57.0,0.0,0.0,36600.0,O,V,0.0,1,1,0
0.0,24.0,0.0,0.0,23445.0,O,V,0.0,1,1,0
0.0,27.0,0.0,10192.0,0.0,O,W,1.0,1,0,0
0.0,28.0,0.0,5200.0,0.0,O,E,0.0,1,1,0
0.0,55.0,2.0,0.0,60000.0,O,P,0.0,1,1,1
0.0,64.0,0.0,0.0,18252.0,P,V,0.0,0,1,0
80.0,46.0,2.0,1960.0,39750.0,O,P,0.0,1,1,1
432.0,42.0,1.0,0.0,17100.0,U,V,0.0,0,1,1
0.0,55.0,1.0,0.0,27000.0,O,P,0.0,1,1,1
168.0,67.0,1.0,0.0,19500.0,U,B,0.0,0,1,1
0.0,30.0,3.0,0.0,0.0,O,R,0.0,1,1,1
0.0,52.0,2.0,2000.0,24000.0,U,V,0.0,0,1,1
0.0,67.0,0.0,0.0,7500.0,P,T,0.0,0,0,0
0.0,63.0,0.0,0.0,24000.0,O,P,0.0,1,1,0
0.0,64.0,0.0,0.0,21900.0,P,V,1.0,0,1,0
0.0,57.0,0.0,0.0,33000.0,P,M,0.0,0,1,0
0.0,59.0,0.0,0.0,0.0,N,U,1.0,0,0,0
0.0,63.0,0.0,0.0,12366.0,P,P,0.0,0,1,0
0.0,99.0,2.0,11070.0,36000.0,O,P,0.0,1,1,1
0.0,99.0,0.0,0.0,0.0,O,R,0.0,1,1,0
680.0,49.0,2.0,2300.0,36000.0,O,E,0.0,1,1,1
1480.0,52.0,2.0,0.0,51690.0,O,P,0.0,1,1,1
0.0,65.0,0.0,0.0,10476.0,P,P,1.0,0,1,0
28.0,48.0,0.0,0.0,9000.0,F,P,0.0,0,1,0
0.0,55.0,1.0,0.0,12000.0,U,P,1.0,0,1,1
0.0,53.0,0.0,0.0,928.0,O,E,0.0,1,1,0
0.0,48.0,2.0,0.0,14864.0,O,P,0.0,1,1,1
160.0,48.0,2.0,0.0,39000.0,O,M,0.0,1,1,1
0.0,64.0,0.0,0.0,0.0,P,P,0.0,0,1,0
0.0,30.0,0.0,3800.0,8100.0,O,V,0.0,1,1,0
0.0,65.0,0.0,0.0,9276.0,N,V,0.0,0,1,0
392.0,61.0,0.0,6420.0,19200.0,N,P,1.0,0,1,0
316.0,58.0,0.0,0.0,22620.0,P,V,0.0,0,1,0
0.0,52.0,1.0,0.0,9464.0,O,P,0.0,1,1,1
0.0,7.0,0.0,0.0,12000.0,N,R,1.0,0,1,0
0.0,66.0,0.0,0.0,0.0,N,T,1.0,0,0,0
0.0,67.0,0.0,0.0,0.0,P,T,0.0,0,0,0
468.0,59.0,0.0,0.0,35400.0,O,V,0.0,1,1,0
0.0,69.0,0.0,0.0,10500.0,P,T,0.0,0,0,0
0.0,28.0,0.0,0.0,0.0,N,R,0.0,0,1,0
0.0,15.0,0.0,0.0,15000.0,O,R,0.0,1,1,0
0.0,22.0,0.0,0.0,0.0,O,R,1.0,1,1,0
0.0,64.0,0.0,0.0,17250.0,F,V,0.0,0,1,0
0.0,68.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,13.0,0.0,850.0,37500.0,U,R,0.0,0,1,0
0.0,69.0,0.0,0.0,0.0,P,T,1.0,0,0,0
0.0,59.0,0.0,0.0,48000.0,O,E,0.0,1,1,0
480.0,52.0,0.0,11500.0,36000.0,O,V,0.0,1,1,0
0.0,60.0,0.0,0.0,27000.0,P,P,0.0,0,1,0
400.0,40.0,0.0,0.0,48000.0,O,P,0.0,1,1,0
0.0,54.0,2.0,0.0,0.0,U,W,1.0,0,0,1
0.0,51.0,0.0,0.0,55131.0,O,P,0.0,1,1,0
0.0,64.0,0.0,0.0,22500.0,F,V,0.0,0,1,0
0.0,56.0,0.0,0.0,17700.0,F,P,0.0,0,1,0
0.0,65.0,0.0,0.0,0.0,F,T,0.0,0,0,0
0.0,62.0,0.0,0.0,21000.0,P,P,0.0,0,1,0
0.0,36.0,0.0,0.0,0.0,O,W,1.0,1,0,0
0.0,49.0,0.0,0.0,46500.0,O,V,0.0,1,1,0
0.0,68.0,0.0,0.0,0.0,P,P,0.0,0,1,0
0.0,62.0,0.0,4056.0,27000.0,O,P,0.0,1,1,0
0.0,20.0,0.0,1000.0,60000.0,O,R,1.0,1,1,0
680.0,60.0,0.0,0.0,46800.0,O,E,0.0,1,1,0
316.0,52.0,2.0,1955.0,33000.0,O,P,0.0,1,1,1
0.0,60.0,0.0,6000.0,18000.0,O,N,0.0,1,0,0
0.0,25.0,0.0,0.0,31500.0,O,P,1.0,1,1,0
0.0,49.0,2.0,0.0,7200.0,O,P,1.0,1,1,1
0.0,58.0,0.0,0.0,30000.0,P,E,0.0,0,1,0
0.0,61.0,0.0,0.0,21474.0,U,V,0.0,0,1,0
0.0,27.0,0.0,0.0,3464.0,O,E,0.0,1,1,0
0.0,11.0,0.0,0.0,0.0,N,R,0.0,0,1,0
0.0,65.0,0.0,0.0,19500.0,O,P,0.0,1,1,0
500.0,61.0,0.0,0.0,33000.0,P,P,0.0,0,1,0
0.0,26.0,0.0,0.0,6885.0,O,R,0.0,1,1,0
200.0,65.0,0.0,4000.0,17700.0,O,P,0.0,1,1,0
0.0,44.0,0.0,0.0,24000.0,O,P,0.0,1,1,0
280.0,35.0,0.0,5200.0,26487.0,O,P,0.0,1,1,0
132.0,62.0,0.0,0.0,25500.0,U,P,0.0,0,1,0
0.0,69.0,0.0,0.0,0.0,P,T,1.0,0,0,0
0.0,56.0,0.0,0.0,18000.0,P,E,1.0,0,1,0
0.0,99.0,0.0,0.0,0.0,N,R,1.0,0,1,0
0.0,64.0,0.0,0.0,24000.0,P,E,0.0,0,1,0
0.0,52.0,1.0,0.0,0.0,N,P,1.0,0,1,1
200.0,63.0,0.0,0.0,23460.0,F,V,0.0,0,1,0
0.0,67.0,0.0,0.0,4500.0,F,T,1.0,0,0,0
0.0,53.0,2.0,0.0,39464.0,O,E,0.0,1,1,1
0.0,58.0,0.0,0.0,45000.0,O,P,0.0,1,1,0
200.0,67.0,0.0,0.0,12000.0,P,P,0.0,0,1,0
0.0,67.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,51.0,0.0,2230.0,24464.0,P,E,0.0,0,1,0
264.0,54.0,2.0,3000.0,48600.0,O,V,0.0,1,1,1
608.0,38.0,0.0,0.0,24000.0,N,P,1.0,0,1,0
0.0,49.0,1.0,0.0,10500.0,O,P,0.0,1,1,1
620.0,43.0,2.0,0.0,57000.0,O,P,0.0,1,1,1
320.0,51.0,2.0,0.0,464.0,O,P,0.0,1,1,1
608.0,27.0,0.0,3321.0,45000.0,O,P,1.0,1,1,0
200.0,51.0,1.0,2000.0,36000.0,O,P,0.0,1,1,1
0.0,51.0,0.0,0.0,57000.0,O,P,0.0,1,1,0
0.0,58.0,2.0,6000.0,18000.0,O,E,1.0,1,1,1
0.0,51.0,0.0,0.0,9600.0,U,V,0.0,0,1,0
0.0,26.0,2.0,10000.0,0.0,O,W,1.0,1,0,1
0.0,67.0,0.0,0.0,6300.0,P,T,0.0,0,0,0
240.0,57.0,0.0,8500.0,28200.0,O,V,0.0,1,1,0
0.0,62.0,0.0,0.0,0.0,U,W,1.0,0,0,0
0.0,59.0,0.0,0.0,30000.0,P,V,0.0,0,1,0
236.0,27.0,0.0,0.0,20700.0,O,P,0.0,1,1,0
0.0,67.0,0.0,0.0,16500.0,P,P,0.0,0,1,0
0.0,64.0,0.0,0.0,18000.0,F,P,0.0,0,1,0
0.0,24.0,0.0,0.0,13500.0,O,Z,1.0,1,0,0
0.0,22.0,0.0,0.0,45000.0,O,R,0.0,1,1,0
1600.0,37.0,3.0,22500.0,1964.0,O,P,0.0,1,1,1
0.0,49.0,1.0,9600.0,22500.0,O,P,1.0,1,1,1
336.0,45.0,2.0,0.0,39464.0,O,P,0.0,1,1,1
116.0,67.0,0.0,0.0,13800.0,P,P,1.0,0,1,0
320.0,48.0,3.0,0.0,41400.0,O,P,0.0,1,1,1
0.0,34.0,0.0,5500.0,16500.0,O,P,0.0,1,1,0
0.0,59.0,0.0,0.0,25620.0,P,P,0.0,0,1,0
0.0,57.0,0.0,11700.0,52500.0,O,P,0.0,1,1,0
0.0,9.0,0.0,0.0,0.0,O,R,0.0,1,1,0
0.0,33.0,1.0,1750.0,24464.0,O,V,0.0,1,1,1
0.0,52.0,2.0,7500.0,0.0,O,W,1.0,1,0,1
0.0,67.0,0.0,0.0,0.0,P,T,0.0,0,0,0
360.0,64.0,1.0,0.0,24852.0,O,V,0.0,1,1,1
0.0,18.0,0.0,0.0,0.0,U,R,1.0,0,1,0
0.0,10.0,2.0,0.0,0.0,U,R,1.0,0,1,1
0.0,33.0,0.0,0.0,15990.0,U,P,1.0,0,1,0
0.0,66.0,0.0,0.0,26406.0,P,P,0.0,0,1,0
1440.0,36.0,0.0,0.0,18928.0,F,P,0.0,0,1,0
0.0,43.0,2.0,0.0,21942.0,O,V,0.0,1,1,1
0.0,42.0,3.0,1680.0,24000.0,O,B,1.0,1,1,1
0.0,39.0,2.0,15000.0,0.0,O,W,1.0,1,0,1
76.0,62.0,1.0,1440.0,21000.0,U,P,0.0,0,1,1
0.0,64.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,58.0,0.0,0.0,0.0,F,T,1.0,0,0,0
0.0,53.0,2.0,10000.0,9900.0,U,V,0.0,0,1,1
0.0,67.0,0.0,0.0,0.0,N,T,0.0,0,0,0
0.0,40.0,0.0,30000.0,0.0,O,W,0.0,1,0,0
0.0,19.0,0.0,0.0,0.0,O,R,0.0,1,1,0
240.0,48.0,3.0,3000.0,22500.0,F,P,0.0,0,1,1
0.0,51.0,3.0,0.0,17640.0,N,V,0.0,0,1,1
0.0,65.0,0.0,0.0,15000.0,P,P,1.0,0,1,0
0.0,36.0,0.0,0.0,15600.0,U,V,0.0,0,1,0
0.0,65.0,0.0,0.0,0.0,P,T,0.0,0,0,0
0.0,65.0,0.0,0.0,45000.0,P,E,0.0,0,1,0
0.0,67.0,0.0,0.0,4680.0,F,T,0.0,0,0,0
0.0,69.0,0.0,0.0,9360.0,P,P,1.0,0,1,0
0.0,60.0,0.0,0.0,13860.0,F,T,0.0,0,0,0
0.0,60.0,0.0,0.0,0.0,P,T,1.0,0,0,0
0.0,68.0,0.0,0.0,0.0,N,T,0.0,0,0,0
0.0,64.0,0.0,0.0,0.0,P,E,1.0,0,1,0
0.0,48.0,3.0,0.0,464.0,O,P,0.0,1,1,1
540.0,50.0,4.0,7000.0,30000.0,O,P,1.0,1,1,1
0.0,57.0,0.0,0.0,22500.0,P,P,0.0,0,1,0
0.0,48.0,1.0,0.0,38511.0,O,V,0.0,1,1,1
0.0,65.0,0.0,0.0,25500.0,F,P,0.0,0,1,0
0.0,66.0,0.0,0.0,18927.0,P,V,0.0,0,1,0
0.0,27.0,0.0,0.0,12000.0,O,R,1.0,1,1,0
0.0,62.0,0.0,0.0,28200.0,O,P,0.0,1,1,0
0.0,51.0,5.0,3690.0,24255.0,U,P,0.0,0,1,1
0.0,62.0,0.0,0.0,31812.0,P,P,0.0,0,1,0
0.0,65.0,0.0,0.0,27279.0,F,V,0.0,0,1,0
272.0,66.0,0.0,0.0,1620.0,N,M,1.0,0,1,0
0.0,67.0,0.0,0.0,6024.0,P,P,1.0,0,1,0
0.0,35.0,4.0,8000.0,6000.0,O,E,0.0,1,1,1
0.0,25.0,0.0,0.0,36000.0,O,P,1.0,1,1,0
216.0,59.0,1.0,0.0,18000.0,U,P,0.0,0,1,1
400.0,39.0,1.0,10000.0,52500.0,O,P,0.0,1,1,1
0.0,63.0,0.0,0.0,20250.0,O,V,1.0,1,1,0
808.0,50.0,2.0,0.0,52500.0,O,P,0.0,1,1,1
0.0,46.0,2.0,2800.0,61500.0,O,P,0.0,1,1,1
668.0,48.0,0.0,0.0,20220.0,O,P,1.0,1,1,0
800.0,60.0,0.0,0.0,30000.0,P,P,0.0,0,1,0
224.0,35.0,0.0,0.0,28152.0,O,P,0.0,1,1,0
668.0,61.0,0.0,0.0,25500.0,P,P,1.0,0,1,0
464.0,46.0,1.0,0.0,51000.0,O,P,0.0,1,1,1
0.0,63.0,0.0,0.0,31500.0,O,P,0.0,1,1,0
0.0,67.0,0.0,0.0,18000.0,P,T,0.0,0,0,0
0.0,27.0,0.0,768.0,0.0,F,R,1.0,0,1,0
88.0,54.0,2.0,0.0,31500.0,O,V,1.0,1,1,1
0.0,44.0,0.0,17800.0,30000.0,O,P,0.0,1,1,0
348.0,53.0,1.0,0.0,52500.0,O,P,0.0,1,1,1
0.0,68.0,0.0,0.0,5703.0,F,T,0.0,0,0,0
0.0,38.0,0.0,0.0,16248.0,U,R,0.0,0,1,0
0.0,14.0,0.0,0.0,9900.0,O,R,0.0,1,1,0
0.0,69.0,0.0,0.0,7500.0,P,T,1.0,0,0,0
600.0,28.0,0.0,0.0,33000.0,O,E,1.0,1,1,0
0.0,66.0,0.0,0.0,5715.0,F,T,0.0,0,0,0
228.0,59.0,0.0,0.0,36000.0,O,P,1.0,1,1,0
0.0,68.0,0.0,0.0,15900.0,P,V,0.0,0,1,0
0.0,63.0,0.0,0.0,18300.0,F,P,0.0,0,1,0
0.0,16.0,0.0,0.0,0.0,O,R,0.0,1,1,0
0.0,65.0,0.0,0.0,15000.0,P,V,0.0,0,1,0
0.0,35.0,0.0,0.0,13500.0,U,P,0.0,0,1,0
0.0,27.0,0.0,0.0,18000.0,O,R,0.0,1,1,0
0.0,47.0,2.0,0.0,19500.0,U,P,0.0,0,1,1
0.0,54.0,0.0,0.0,33000.0,F,V,1.0,0,1,0
0.0,55.0,2.0,0.0,0.0,N,P,1.0,0,1,1
280.0,41.0,1.0,4000.0,33000.0,U,P,1.0,0,1,1
0.0,55.0,0.0,9000.0,10545.0,O,P,1.0,1,1,0
320.0,46.0,0.0,0.0,30000.0,O,P,0.0,1,1,0
0.0,63.0,0.0,0.0,21000.0,P,P,0.0,0,1,0
0.0,56.0,0.0,0.0,9464.0,O,E,0.0,1,1,0
0.0,52.0,0.0,0.0,60000.0,O,P,0.0,1,1,0
0.0,57.0,1.0,0.0,0.0,O,W,1.0,1,0,1
0.0,64.0,0.0,0.0,24327.0,P,V,0.0,0,1,0
0.0,22.0,0.0,2200.0,58500.0,O,E,1.0,1,1,0
204.0,55.0,2.0,0.0,45000.0,O,P,0.0,1,1,1
0.0,38.0,0.0,5600.0,42000.0,O,V,0.0,1,1,0
0.0,45.0,1.0,0.0,42000.0,O,P,1.0,1,1,1
240.0,46.0,1.0,2500.0,33000.0,O,P,0.0,1,1,1
0.0,42.0,0.0,1230.0,39000.0,O,P,1.0,1,1,0
60.0,66.0,0.0,0.0,21600.0,F,P,1.0,0,1,0
200.0,57.0,0.0,0.0,40500.0,O,V,0.0,1,1,0
240.0,50.0,2.0,0.0,39000.0,O,M,0.0,1,1,1
540.0,30.0,0.0,2000.0,24000.0,O,B,1.0,1,1,0
0.0,66.0,0.0,0.0,5700.0,P,T,0.0,0,0,0
